"","SPX","NKY","KOSPI","HSI","TWSE","UKX","AS51"
"2021-12-09",0.000128624615871682,0.000112342485920219,0.000167408252368384,0.000167706839410563,6.40727657802383e-05,0.000129172017845267,3.72478376481603e-05
"2021-12-10",0.000122055433523564,0.000107634992544887,0.000156194718621967,0.000159409335752959,6.1369313189024e-05,0.000117995706556627,3.5030124671795e-05
"2021-12-13",0.000117308084201066,9.95593614626567e-05,0.000147787552227718,0.000151634394688602,6.02789420834502e-05,0.000121234328048009,3.27498093183782e-05
"2021-12-14",0.000112534297149503,9.18514275298698e-05,0.000136975275178754,0.000145208246697379,5.96715702696112e-05,0.00011038051768478,3.26314937976038e-05
"2021-12-15",0.00012573409862941,8.63360643828586e-05,0.000127761691107186,0.000138781631550702,5.90520094334484e-05,0.000102332698522264,3.23548015386665e-05
"2021-12-16",0.000119430818719501,0.000101031261335934,0.000118541576930859,0.000131074593715963,5.65857918790383e-05,9.60786156258783e-05,3.88653194051118e-05
"2021-12-17",0.000121936125312425,0.000114418702995757,0.000111975586524293,0.000128757221545173,5.42592840123695e-05,9.14428907066667e-05,3.63444451866868e-05
"2021-12-20",0.000126551129687989,0.000139508325172748,0.000122151402216393,0.000141232095423462,5.27751894231714e-05,8.70195927343245e-05,3.41987751326034e-05
"2021-12-21",0.000142151929172217,0.000187795853851314,0.000119182792782195,0.000146838092025617,5.93986919185029e-05,0.00010087406737209,4.70947756994983e-05
"2021-12-22",0.000141290395502834,0.000173796851966651,0.000111909308522352,0.000136813948976196,5.76558866805972e-05,9.28962955960741e-05,4.59171475618459e-05
"2021-12-23",0.000130765637752003,0.000158511712104015,0.000103944804481555,0.000127419446990529,5.53129416969826e-05,8.52455537428347e-05,4.26279993651152e-05
"2021-12-27",0.000137634371964005,0.000148431780813614,9.69373515685944e-05,0.000119203810202602,5.33599872167487e-05,7.81423878350987e-05,3.99766569192744e-05
"2021-12-28",0.000122544899397475,0.000140133165067006,9.04208408543645e-05,0.000111640850160263,5.19159838300916e-05,7.36270526173877e-05,3.90140125084611e-05
"2021-12-29",0.000109362178484332,0.00012915093477854,8.97839238478027e-05,0.000108004476287194,4.9975342678091e-05,7.16342990562317e-05,6.05460897228024e-05
"2021-12-30",9.83221352439114e-05,0.000120833994073016,8.62185444551123e-05,0.000100924085190491,4.76852290493474e-05,6.58776236093996e-05,5.59281876255382e-05
"2021-12-31",8.90996320222419e-05,0.000110949258407358,8.03983020011699e-05,0.000109154653608583,4.55299156703818e-05,6.09812501946341e-05,5.68243010408403e-05
