,SPX_F,NKY_F,KOSPI_F,HSI_F,TWSE_F,UKX_F,AS51_F
2000-05-02,1450.5,18470.0,94.4,15830.0,15830.0,6429.0,3146.0
2000-05-03,1422.5,18470.0,94.7,15515.0,15515.0,6214.0,3116.0
2000-05-04,1423.25,18470.0,94.6,15240.0,15240.0,6223.0,3077.0
2000-05-05,1439.0,18470.0,94.6,15300.0,15300.0,6270.0,3132.0
2000-05-08,1430.0,18160.0,96.2,14822.0,14822.0,6238.0,3114.0
2000-05-09,1419.75,17800.0,95.6,14770.0,14770.0,6146.5,3085.0
2000-05-10,1387.75,17740.0,94.4,14460.0,14460.0,6142.0,3038.0
2000-05-11,1415.0,16810.0,94.4,14460.0,14460.0,6267.5,2990.0
2000-05-12,1430.75,17280.0,91.3,15130.0,15130.0,6314.0,3044.0
2000-05-15,1457.75,17280.0,90.4,14700.0,14700.0,6262.0,3053.0
2000-05-16,1471.75,17560.0,94.5,15065.0,15065.0,6350.5,3093.0
2000-05-17,1456.75,17360.0,90.5,14860.0,14860.0,6210.5,3071.0
2000-05-18,1442.0,17000.0,90.35,14200.0,14200.0,6260.0,3032.0
2000-05-19,1415.0,16800.0,92.5,14500.0,14500.0,6060.0,3035.0
2000-05-22,1403.75,16300.0,88.0,14170.0,14170.0,6066.0,3000.0
2000-05-23,1382.5,16220.0,87.05,14280.0,14280.0,6100.0,3016.0
2000-05-24,1401.75,15930.0,86.2,13850.0,13850.0,6139.0,3001.0
2000-05-25,1389.0,16240.0,88.8,13850.0,13850.0,6253.5,3022.0
2000-05-26,1381.25,15990.0,82.6,13635.0,13635.0,6234.0,3012.0
2000-05-29,1387.0,16250.0,84.0,13960.0,13960.0,6234.0,3037.0
2000-05-30,1427.25,16300.0,86.45,13968.0,13968.0,6369.5,3037.0
2000-05-31,1422.25,16340.0,91.3,14875.0,14875.0,6367.5,3089.0
2000-06-01,1451.5,16710.0,93.4,15055.0,15055.0,6485.0,3106.0
2000-06-02,1476.0,16820.0,96.0,15330.0,15330.0,6645.0,3144.0
2000-06-05,1470.5,17230.0,100.1,15900.0,15900.0,6565.0,3156.0
2000-06-06,1463.0,17160.0,100.1,15900.0,15900.0,6556.0,3147.0
2000-06-07,1472.0,17170.0,105.05,15905.0,15905.0,6521.0,3121.0
2000-06-08,1466.5,16900.0,101.95,15890.0,15890.0,6492.0,3126.0
2000-06-09,1462.0,16780.0,107.0,16241.0,16241.0,6445.0,3148.0
2000-06-12,1446.75,16980.0,106.8,16030.0,16030.0,6454.0,3149.0
2000-06-13,1472.0,16860.0,101.9,15700.0,15700.0,6452.0,3116.0
2000-06-14,1475.25,16560.0,104.1,16080.0,16080.0,6556.0,3123.0
2000-06-15,1475.0,16340.0,96.7,16140.0,16140.0,6496.0,3135.0
2000-06-16,1488.0,16370.0,96.0,16469.0,16469.0,6514.0,3141.0
2000-06-19,1504.5,16670.0,94.9,16231.0,16231.0,6526.0,3141.0
2000-06-20,1499.0,16900.0,99.45,16030.0,16030.0,6585.5,3143.0
2000-06-21,1498.5,17110.0,98.4,16241.0,16241.0,6532.0,3170.0
2000-06-22,1476.3,17130.0,98.7,15940.0,15940.0,6485.0,3163.0
2000-06-23,1463.5,17000.0,98.8,15705.0,15705.0,6450.0,3188.0
2000-06-26,1479.0,16950.0,101.5,16080.0,16080.0,6477.0,3177.0
2000-06-27,1471.0,17360.0,102.95,16200.0,16200.0,6430.0,3196.0
2000-06-28,1471.25,17350.0,104.85,16350.0,16350.0,6365.0,3195.0
2000-06-29,1458.0,17480.0,105.0,16377.0,16377.0,6281.0,3249.0
