,SPX,NKY,KOSPI,HSI,TWSE,UKX,AS51
1992-05-29,415.35,18347.75,570.93,6080.15,4519.27,2707.6,1704.6
1992-06-01,417.3,18004.11,569.19,6056.0,4456.85,2697.6,1700.5
1992-06-02,413.5,18125.55,567.34,6059.39,4468.94,2705.9,1702.7
1992-06-03,414.59,18188.68,568.98,6037.37,4583.97,2680.9,1704.5
1992-06-04,413.26,17964.07,568.81,6035.8,4586.61,2681.9,1701.9
1992-06-05,413.48,17790.04,569.2,6035.8,4586.61,2668.5,1699.7
1992-06-08,413.36,17655.06,563.65,5978.75,4565.04,2645.8,1699.7
1992-06-09,410.06,17845.04,561.76,5940.19,4526.65,2635.4,1699.9
1992-06-10,407.25,17742.87,562.87,5917.5,4633.8,2636.1,1690.8
1992-06-11,409.05,17709.05,570.5,5826.54,4681.07,2614.1,1683.0
1992-06-12,409.76,17383.68,566.2,5819.07,4676.13,2603.7,1675.3
1992-06-15,410.29,16953.23,579.81,5819.07,4672.49,2593.6,1670.2
1992-06-16,408.32,16953.53,579.95,5846.75,4637.78,2616.3,1661.9
1992-06-17,402.26,16445.8,576.72,5846.06,4603.9,2598.4,1652.4
1992-06-18,400.96,16045.56,563.85,5796.1,4628.78,2562.7,1646.4
1992-06-19,403.67,16519.87,571.02,5787.6,4587.85,2584.8,1655.8
1992-06-22,403.4,15921.22,558.32,5819.94,4697.66,2550.3,1658.8
1992-06-23,404.04,16106.99,559.99,5897.86,4690.48,2560.6,1665.2
1992-06-24,403.83,15853.67,551.99,5965.21,4655.08,2532.6,1668.4
1992-06-25,403.12,16143.72,548.3,6078.69,4565.01,2557.3,1665.1
1992-06-26,403.45,15812.73,552.09,6113.1,4501.97,2534.1,1662.1
1992-06-29,408.94,15741.27,551.55,6057.9,4467.5,2515.8,1662.8
1992-06-30,408.14,15951.73,552.03,6103.92,4523.81,2521.2,1665.9
1992-07-01,412.88,16325.07,551.98,6134.75,4523.81,2493.9,1668.4
1992-07-02,411.77,16757.63,548.28,6073.74,4454.08,2476.1,1683.0
1992-07-06,413.84,16657.07,535.72,6024.77,4511.97,2469.0,1685.0
1992-07-07,409.16,16459.55,535.34,5911.92,4432.22,2493.7,1680.9
1992-07-08,410.28,16600.26,531.79,5981.91,4329.31,2472.6,1671.6
1992-07-09,414.23,16848.66,523.07,5925.52,4337.99,2497.9,1661.2
1992-07-10,414.62,16783.72,523.88,5981.36,4316.79,2490.8,1664.0
1992-07-13,414.87,17201.73,512.54,6085.85,4312.38,2478.3,1657.8
1992-07-14,417.68,17064.63,527.08,6097.19,4307.69,2484.0,1657.3
1992-07-15,417.1,17116.92,514.19,6125.46,4352.51,2486.4,1655.4
1992-07-16,417.54,16987.66,511.61,6162.53,4349.68,2483.4,1658.0
1992-07-17,415.62,16548.07,511.61,6128.06,4282.6,2431.9,1647.8
